,SPY,CZR,LVS,MGM,PENN,PK,WYNN
2020-03-02,307.283081,12.4,57.120472,24.865719,28.219998999999998,17.866007,107.940002
2020-03-03,298.484802,11.97,54.806637,23.128592,26.049999,17.135426000000002,102.440002
2020-03-04,311.031036,11.95,56.130230000000005,23.128592,26.049999,17.031059,105.660004
2020-03-05,300.69183300000003,11.25,53.86541,20.448456,22.85,15.636313000000001,95.58000200000001
2020-03-06,295.721069,11.09,53.786976,20.24,23.91,15.446553,94.029999
2020-03-09,272.626892,10.04,48.688683000000005,17.879998999999998,20.43,12.913242,81.93
2020-03-10,286.733948,10.68,52.335926,20.790001,23.030001000000002,13.435085,90.16999799999999
2020-03-11,272.756104,9.8,47.678833000000004,18.08,19.809998999999998,11.366689,80.870003
2020-03-12,246.659576,7.89,43.286457,15.26,15.43,8.235632,68.019997
2020-03-13,267.745575,8.49,48.051395,15.44,15.47,8.833378999999999,72.519997
2020-03-16,238.447861,6.08,39.599998,10.25,8.54,6.5372699999999995,54.799999
2020-03-17,251.322159,5.1,40.860001000000004,9.55,7.33,5.7972019999999995,54.380001
2020-03-18,238.59698500000002,3.52,37.68,7.14,4.52,4.6681230000000005,43.02
2020-03-19,239.103989,5.02,40.360001000000004,7.7,6.09,5.778225,46.580002
2020-03-20,228.80000299999998,5.45,43.310001,9.11,7.89,6.356997,51.970001
2020-03-23,222.94999700000002,6.03,43.450001,9.15,9.8,6.394948,57.57
2020-03-24,243.149994,6.18,44.84,12.18,13.21,7.182457,66.559998
2020-03-25,246.789993,7.13,47.349998,12.95,14.56,8.501297000000001,75.059998
2020-03-26,261.200012,7.04,48.360001000000004,13.45,13.26,9.421638,71.510002
2020-03-27,253.419998,6.85,42.099998,12.19,11.77,8.34,63.310001
2020-03-30,261.649994,6.42,43.490002000000004,11.53,11.66,8.19,61.099998
2020-03-31,257.75,6.76,42.470001,11.8,12.65,7.91,60.189999
2020-04-01,246.149994,6.63,40.299999,11.77,10.14,7.35,54.0
2020-04-02,251.830002,6.46,40.27,11.51,9.21,6.5,52.669998
2020-04-03,248.190002,6.28,37.919998,10.58,9.77,6.04,48.5
2020-04-06,264.859985,7.01,40.700001,12.91,11.03,7.2,56.73
2020-04-07,265.130005,7.35,42.700001,13.63,11.03,7.36,60.849998
2020-04-08,274.02999900000003,7.44,46.549999,15.0,12.89,7.98,69.07
2020-04-09,278.200012,7.93,47.860001000000004,14.55,13.91,8.25,70.650002
2020-04-13,275.660004,7.88,46.490002000000004,13.91,14.08,7.95,69.300003
2020-04-14,283.790009,8.05,48.130001,15.04,15.06,8.12,74.480003
2020-04-15,277.76001,7.57,47.099998,14.42,13.91,7.9,71.849998
2020-04-16,279.100006,7.7,45.900002,13.82,13.38,7.63,72.290001
2020-04-17,286.640015,8.13,47.009997999999996,14.08,14.07,8.19,78.459999
2020-04-20,281.589996,8.03,43.130001,13.53,13.87,7.72,73.290001
2020-04-21,273.040009,7.9,40.689999,13.19,13.57,7.47,70.400002
2020-04-22,279.100006,8.05,41.029999,13.29,13.28,7.22,70.029999
2020-04-23,279.079987,8.07,45.959998999999996,13.78,13.58,7.19,76.050003
2020-04-24,282.97000099999997,8.87,43.779999,13.94,14.1,7.41,76.610001
2020-04-27,287.049988,9.24,46.380001,15.23,15.42,8.12,82.769997
2020-04-28,285.730011,9.49,46.580002,15.81,15.91,8.9,82.160004
2020-04-29,293.209991,9.81,48.889998999999996,17.459999,18.610001,9.69,89.029999
2020-04-30,290.480011,9.66,48.02,16.83,17.82,9.51,85.529999
2020-05-01,282.790009,9.34,45.610001000000004,15.01,15.54,8.64,80.83000200000001
2020-05-04,283.570007,9.49,45.450001,14.78,15.61,8.48,80.449997
2020-05-05,286.190002,9.4,46.389998999999996,14.27,15.73,8.27,79.66999799999999
2020-05-06,284.25,9.34,46.439999,13.91,15.76,7.84,79.25
2020-05-07,287.679993,9.48,47.369999,14.93,18.18,8.16,79.599998
2020-05-08,292.440002,9.7,50.939999,15.59,18.43,8.72,86.940002
2020-05-11,292.5,9.67,48.5,14.65,18.66,8.0,82.66999799999999
2020-05-12,286.670013,9.96,45.959998999999996,13.84,17.75,7.29,78.660004
2020-05-13,281.600006,9.61,44.419998,12.68,16.540001,6.93,76.769997
2020-05-14,284.97000099999997,9.86,45.68,13.52,17.719998999999998,7.32,78.300003
2020-05-15,286.27999900000003,10.03,44.759997999999996,13.85,19.35,7.31,77.699997
2020-05-18,294.940002,10.475,48.389998999999996,15.31,22.25,8.89,81.470001
